,Unnamed: 0,dias,fatorec,fatorev,neuronio,interação,acc_train,acc_test,test_acum,dif_acc,sharpe,DD_Max,DD_Mean,DD_std
447,0,1,0.25,0.25,115,300,0.5140013885674612,0.4284722222222222,31.434560685737395,0.08552916634523905,0.5808903715974145,10.82288921377512,3.288436765209378,2.5578638930918176
448,0,1,0.25,0.25,115,400,0.5341356167553807,0.4305555555555556,31.005529380873,0.1035800611998251,0.7061125522678279,8.782036031307548,3.2160887134734986,2.168921415551284
449,0,1,0.25,0.25,115,500,0.5491784309187688,0.4388888888888889,40.587536341763595,0.11028954202987996,0.9656158789531264,8.40655942521712,2.095084809251699,1.7059694044569946
453,0,1,0.25,0.25,116,400,0.5267299236287897,0.4493055555555556,51.029925305269956,0.0774243680732341,1.0113368922716717,10.091577929219255,3.3234726963230665,2.481484552041172
454,0,1,0.25,0.25,116,500,0.5383013191390882,0.4506944444444445,57.448742891909646,0.08760687469464372,1.0767768331106051,10.670501282229687,3.4956345910028923,3.0543946189967235
462,0,1,0.25,0.25,118,300,0.4987271464938672,0.45625,53.387158524061746,0.04247714649386719,0.5961479944414019,17.910706409097685,2.8163752221151936,3.80847844351496
463,0,1,0.25,0.25,118,400,0.5146956722980791,0.4534722222222222,53.07404210159573,0.06122345007585689,0.7385919407077468,14.371681892639707,2.4835808851432453,2.9347421188394645
464,0,1,0.25,0.25,118,500,0.5264984957185836,0.4569444444444444,67.40224702086246,0.06955405127413923,1.0096531131439332,13.351565234317023,2.1944623226838798,2.6669642678937864
467,0,1,0.25,0.25,119,300,0.5133071048368433,0.4493055555555556,38.1572432340739,0.0640015492812877,0.6560158914767478,11.633024056224825,3.593071502290972,3.099999986039128
468,0,1,0.25,0.25,119,400,0.5281184910900255,0.4465277777777778,43.193668220571595,0.08159071331224771,0.8508421176721052,10.153157048395537,2.9277403105059103,2.534350053195961
469,0,1,0.25,0.25,119,500,0.5433927331636196,0.4465277777777778,46.7513675617947,0.09686495538584178,1.0086373840750726,9.270203206807773,2.6803317234890294,2.2421033545990063
476,0,1,0.25,0.25,121,200,0.4855357556121268,0.4493055555555556,56.01203356547726,0.03623020005657124,1.7916133173041895,6.252692255018245,1.7700366038952016,1.427598356782228
477,0,1,0.25,0.25,121,300,0.5052071279796343,0.4625,68.68680567075442,0.042707127979634274,1.9386498431379489,7.086045570723197,1.8826799214211536,1.609198396371769
478,0,1,0.25,0.25,121,400,0.5207127979634344,0.4590277777777778,64.47296919634772,0.061685020185656636,1.2268061050721986,10.51070237257312,2.8499281586331398,2.8198193980938884
479,0,1,0.25,0.25,121,500,0.5297384864614673,0.4576388888888889,69.77646204562966,0.07209959757257839,1.3103034776643865,10.650427665811597,2.5078131724525083,2.626582811391873
480,0,1,0.25,0.25,122,100,0.4478130062485536,0.4541666666666666,46.580192339500435,-0.006353660418113083,0.88463247063488,10.530970518428047,2.2209753866006263,2.1445387731858734
481,0,1,0.25,0.25,122,200,0.4816014811386253,0.4486111111111111,43.816300097210885,0.032990370027514204,0.8508985239274686,10.298830909934876,2.749664745532388,2.4427131660708503
482,0,1,0.25,0.25,122,300,0.5028928488775747,0.44583333333333336,47.98943139822594,0.057059515544241324,1.086501477155272,8.833753548844511,2.315067514140811,2.026464142978748
483,0,1,0.25,0.25,122,400,0.515621383938903,0.4451388888888889,55.296054022014104,0.07048249505001414,1.3478057671844137,8.20534462284256,2.188444445907872,1.8117800118761933
484,0,1,0.25,0.25,122,500,0.5278870631798195,0.44583333333333336,52.415321120683146,0.08205372984648612,0.833592446923711,12.575766806457189,3.1048679496921245,2.65827404733085
492,0,1,0.25,0.25,124,300,0.4584586901180282,0.4375,54.22128178911505,0.020958690118028256,1.0575714267984682,10.25392335972169,3.060050595107004,2.7395808914659905
493,0,1,0.25,0.25,124,400,0.468410090256885,0.4527777777777778,65.90821063303305,0.01563231247910718,0.9289844226368404,14.189303722867258,3.219503004617032,3.2250979911151485
494,0,1,0.25,0.25,124,500,0.47581578338347597,0.4604166666666666,82.07295807444116,0.015399116716809382,1.3852740534859442,11.849346036318279,2.7078527848745946,2.8170732969558663
502,0,1,0.25,0.25,126,300,0.4816014811386253,0.4430555555555555,44.95487800477797,0.0385459255830698,0.9534283140803907,9.430153760041886,2.5270560131297195,2.2940695360740344
503,0,1,0.25,0.25,126,400,0.4968757232122194,0.4520833333333333,50.10013168765229,0.04479238987888606,1.0599311176172268,9.453469353797194,2.028374024323765,1.7680336313857163
504,0,1,0.25,0.25,126,500,0.5190928025919926,0.45625,58.886864749568566,0.06284280259199265,1.264625136167194,9.31293599430452,1.873440993446696,1.8214533540244449
506,0,1,0.25,0.25,127,200,0.4725757926405925,0.4270833333333333,60.50212897611486,0.04549245930725915,1.752815264126551,6.903423334376748,2.2615243411256856,1.8610440601366083
507,0,1,0.25,0.25,127,300,0.499884286044897,0.43333333333333335,55.46882811810239,0.0665509527115637,1.5009187321656554,7.391316655508344,2.392608928513054,1.8702100987437928
508,0,1,0.25,0.25,127,400,0.5214070816940523,0.4395833333333333,53.325627975841634,0.08182374836071893,1.4429263542944273,7.39131665550834,2.4558768998042333,1.893346439210701
509,0,1,0.25,0.25,127,500,0.5410784540615599,0.4451388888888889,59.72743739302994,0.095939565172671,1.05266487573445,11.347854149946402,3.131183471263745,2.7411393547944263
512,0,1,0.25,0.25,128,300,0.5056699838000462,0.44722222222222224,46.553088234549854,0.05844776157782401,1.0868461413494732,8.566638176908391,2.2125026008893185,1.6072773459510243
513,0,1,0.25,0.25,128,400,0.5181670909511688,0.45,50.995100048526346,0.06816709095116874,1.3225716164856434,7.711506796740623,1.966711172973616,1.6764305817221603
